00:00,00:08,-1
00:08,00:16,2
00:16,00:19,2
00:19,00:30,3
00:30,00:50,1
00:50,01:10,-1
02:38,03:06,-1
03:06,03:10,2
03:10,03:41,-1
03:41,03:56,3
03:56,06:03,-1
06:03,07:11,3
07:11,07:15,-1
07:15,08:09,3
08:09,08:16,-1
08:16,08:43,2
08:43,11:57,-1
11:57,12:17,2
12:17,16:15,-1
16:15,16:27,2
16:27,17:36,-1
17:36,17:51,2
17:51,17:54,3
17:54,18:53,2
18:53,19:05,-1
19:05,19:20,2
19:20,19:28,3
19:28,19:57,1
19:57,20:04,3
20:04,20:24,2
20:24,20:27,3
20:27,20:32,2
20:32,20:41,3
20:41,20:45,2
20:45,22:14,-1
22:14,23:07,2
